================================================================================
process logger: Sun Apr 28 11:53:56 2019
================================================================================

{'pid': 2883, 'vms': 1204.08203125, 'name': 'indicator-datetime-service', 'username': 'inarvekar'}
{'pid': 2884, 'vms': 584.8125, 'name': 'indicator-keyboard-service', 'username': 'inarvekar'}
{'pid': 2885, 'vms': 792.14453125, 'name': 'indicator-sound-service', 'username': 'inarvekar'}
{'pid': 2889, 'vms': 540.61328125, 'name': 'indicator-printers-service', 'username': 'inarvekar'}
{'pid': 2890, 'vms': 930.5546875, 'name': 'indicator-session-service', 'username': 'inarvekar'}
{'pid': 2894, 'vms': 397.96484375, 'name': 'indicator-application-service', 'username': 'inarvekar'}
{'pid': 2970, 'vms': 1153.90625, 'name': 'evolution-source-registry', 'username': 'inarvekar'}
{'pid': 2981, 'vms': 433.5234375, 'name': 'pulseaudio', 'username': 'inarvekar'}
{'pid': 2984, 'vms': 179.2421875, 'name': 'rtkit-daemon', 'username': 'rtkit'}
{'pid': 3014, 'vms': 847.01953125, 'name': 'evolution-calendar-factory', 'username': 'inarvekar'}
{'pid': 3047, 'vms': 21.97265625, 'name': 'syndaemon', 'username': 'inarvekar'}
{'pid': 3084, 'vms': 735.35546875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 3112, 'vms': 660.01171875, 'name': 'indicator-stick', 'username': 'inarvekar'}
{'pid': 3114, 'vms': 1337.765625, 'name': 'gnome-software', 'username': 'inarvekar'}
{'pid': 3121, 'vms': 1424.609375, 'name': 'nautilus', 'username': 'inarvekar'}
{'pid': 3123, 'vms': 424.875, 'name': 'polkit-gnome-authentication-agent-1', 'username': 'inarvekar'}
{'pid': 3130, 'vms': 796.87109375, 'name': 'evolution-calendar-factory-subprocess', 'username': 'inarvekar'}
{'pid': 3131, 'vms': 568.90625, 'name': 'unity-fallback-mount-helper', 'username': 'inarvekar'}
{'pid': 3146, 'vms': 12.234375, 'name': 'bash', 'username': 'inarvekar'}
{'pid': 3148, 'vms': 1187.55078125, 'name': 'nm-applet', 'username': 'inarvekar'}
{'pid': 3153, 'vms': 3460.41015625, 'name': 'skypeforlinux', 'username': 'inarvekar'}
{'pid': 3170, 'vms': 493.0390625, 'name': 'fwupd', 'username': 'root'}
{'pid': 3171, 'vms': 278.75390625, 'name': 'gvfs-udisks2-volume-monitor', 'username': 'inarvekar'}
{'pid': 3177, 'vms': 358.91796875, 'name': 'udisksd', 'username': 'root'}
{'pid': 3202, 'vms': 253.4375, 'name': 'gvfs-mtp-volume-monitor', 'username': 'inarvekar'}
{'pid': 3210, 'vms': 367.87890625, 'name': 'skypeforlinux', 'username': 'inarvekar'}
{'pid': 3217, 'vms': 265.34765625, 'name': 'gvfs-gphoto2-volume-monitor', 'username': 'inarvekar'}
{'pid': 3218, 'vms': 845.625, 'name': 'evolution-calendar-factory-subprocess', 'username': 'inarvekar'}
{'pid': 3222, 'vms': 674.38671875, 'name': 'evolution-addressbook-factory', 'username': 'inarvekar'}
{'pid': 3229, 'vms': 251.4921875, 'name': 'gvfs-goa-volume-monitor', 'username': 'inarvekar'}
{'pid': 3235, 'vms': 394.1484375, 'name': 'gvfs-afc-volume-monitor', 'username': 'inarvekar'}
{'pid': 3254, 'vms': 820.12109375, 'name': 'evolution-addressbook-factory-subprocess', 'username': 'inarvekar'}
{'pid': 3282, 'vms': 59.859375, 'name': 'gconfd-2', 'username': 'inarvekar'}
{'pid': 3301, 'vms': 162.6953125, 'name': 'python', 'username': 'inarvekar'}
{'pid': 3313, 'vms': 770.73046875, 'name': 'skypeforlinux', 'username': 'inarvekar'}
{'pid': 3322, 'vms': 342.58203125, 'name': 'gvfsd-trash', 'username': 'inarvekar'}
{'pid': 3323, 'vms': 3612.70703125, 'name': 'skypeforlinux', 'username': 'inarvekar'}
{'pid': 3389, 'vms': 183.15625, 'name': 'gvfsd-metadata', 'username': 'inarvekar'}
{'pid': 3534, 'vms': 579.1171875, 'name': 'notify-osd', 'username': 'inarvekar'}
{'pid': 3636, 'vms': 437.2265625, 'name': 'whoopsie', 'username': 'whoopsie'}
{'pid': 3674, 'vms': 15.5625, 'name': 'agetty', 'username': 'root'}
{'pid': 3699, 'vms': 101.1015625, 'name': 'apache2', 'username': 'root'}
{'pid': 3763, 'vms': 234.49609375, 'name': 'nmbd', 'username': 'root'}
{'pid': 3780, 'vms': 329.9921875, 'name': 'smbd', 'username': 'root'}
{'pid': 3782, 'vms': 322.078125, 'name': 'smbd', 'username': 'root'}
{'pid': 3784, 'vms': 330.0, 'name': 'smbd', 'username': 'root'}
{'pid': 3871, 'vms': 1009.28125, 'name': 'wallch', 'username': 'inarvekar'}
{'pid': 3905, 'vms': 4.3984375, 'name': 'sh', 'username': 'inarvekar'}
{'pid': 3909, 'vms': 400.84375, 'name': 'zeitgeist-daemon', 'username': 'inarvekar'}
{'pid': 3916, 'vms': 371.40234375, 'name': 'zeitgeist-fts', 'username': 'inarvekar'}
{'pid': 3918, 'vms': 438.453125, 'name': 'zeitgeist-datahub', 'username': 'inarvekar'}
{'pid': 4299, 'vms': 1583.0390625, 'name': 'slack', 'username': 'inarvekar'}
{'pid': 4467, 'vms': 1886.87890625, 'name': 'slack', 'username': 'inarvekar'}
{'pid': 4565, 'vms': 1843.02734375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4569, 'vms': 428.85546875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4570, 'vms': 25.19140625, 'name': 'nacl_helper', 'username': 'inarvekar'}
{'pid': 4573, 'vms': 428.85546875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4597, 'vms': 671.95703125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4626, 'vms': 455.88671875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4639, 'vms': 756.9375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4721, 'vms': 786.90625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4743, 'vms': 722.40234375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4779, 'vms': 687.6484375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4788, 'vms': 684.6484375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4792, 'vms': 728.69140625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4793, 'vms': 721.40234375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4802, 'vms': 684.6484375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4811, 'vms': 707.90234375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4812, 'vms': 699.65625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4855, 'vms': 697.65234375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4865, 'vms': 691.1484375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4885, 'vms': 752.31640625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4934, 'vms': 700.71484375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4935, 'vms': 2121.93359375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4945, 'vms': 693.78125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4955, 'vms': 734.13671875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4967, 'vms': 750.0703125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4968, 'vms': 712.28515625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4992, 'vms': 779.59375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 4996, 'vms': 878.6875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 5005, 'vms': 714.78515625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 5017, 'vms': 794.9765625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 5242, 'vms': 514.8828125, 'name': 'update-notifier', 'username': 'inarvekar'}
{'pid': 5445, 'vms': 425.2578125, 'name': 'deja-dup-monitor', 'username': 'inarvekar'}
{'pid': 5537, 'vms': 416.80859375, 'name': 'gvfsd-network', 'username': 'inarvekar'}
{'pid': 5624, 'vms': 497.25, 'name': 'gvfsd-dnssd', 'username': 'inarvekar'}
{'pid': 6093, 'vms': 958.62890625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6094, 'vms': 1061.828125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6103, 'vms': 840.046875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6104, 'vms': 12274.671875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6127, 'vms': 856.19921875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6134, 'vms': 797.5703125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6135, 'vms': 1244.6171875, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6138, 'vms': 799.484375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6164, 'vms': 1795.64453125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6166, 'vms': 791.3359375, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6363, 'vms': 4462.453125, 'name': 'spotify', 'username': 'inarvekar'}
{'pid': 6502, 'vms': 487.00390625, 'name': 'spotify', 'username': 'inarvekar'}
{'pid': 6516, 'vms': 903.578125, 'name': 'spotify', 'username': 'inarvekar'}
{'pid': 6533, 'vms': 1845.2890625, 'name': 'spotify', 'username': 'inarvekar'}
{'pid': 6640, 'vms': 764.390625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6714, 'vms': 383.47265625, 'name': 'apache2', 'username': 'www-data'}
{'pid': 6715, 'vms': 383.47265625, 'name': 'apache2', 'username': 'www-data'}
{'pid': 6782, 'vms': 691.5390625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6794, 'vms': 738.81640625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6822, 'vms': 811.3515625, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 6834, 'vms': 91.3046875, 'name': 'cupsd', 'username': 'root'}
{'pid': 6836, 'vms': 268.5078125, 'name': 'cups-browsed', 'username': 'root'}
{'pid': 7006, 'vms': 209.82421875, 'name': 'snap', 'username': 'inarvekar'}
{'pid': 7139, 'vms': 2943.078125, 'name': 'chrome', 'username': 'inarvekar'}
{'pid': 7178, 'vms': 1479.421875, 'name': 'slack', 'username': 'inarvekar'}
{'pid': 7182, 'vms': 365.2109375, 'name': 'slack', 'username': 'inarvekar'}
{'pid': 7220, 'vms': 486.5625, 'name': 'slack', 'username': 'inarvekar'}
{'pid': 7285, 'vms': 1150.37109375, 'name': 'slack', 'username': 'inarvekar'}
{'pid': 7936, 'vms': 318.52734375, 'name': 'gvfsd-http', 'username': 'inarvekar'}
{'pid': 10613, 'vms': 1506.49609375, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10617, 'vms': 362.8125, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10650, 'vms': 494.7421875, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10663, 'vms': 1526.4453125, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10705, 'vms': 22.3671875, 'name': 'bash', 'username': 'inarvekar'}
{'pid': 10716, 'vms': 1343.77734375, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10734, 'vms': 1015.609375, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10766, 'vms': 1002.16796875, 'name': 'code', 'username': 'inarvekar'}
{'pid': 10827, 'vms': 1149.9296875, 'name': 'code', 'username': 'inarvekar'}
{'pid': 11332, 'vms': 662.36328125, 'name': 'unity-scope-home', 'username': 'inarvekar'}
{'pid': 11344, 'vms': 569.65625, 'name': 'unity-scope-loader', 'username': 'inarvekar'}
{'pid': 11367, 'vms': 503.96875, 'name': 'unity-files-daemon', 'username': 'inarvekar'}
{'pid': 11369, 'vms': 325.8359375, 'name': 'unity-music-daemon', 'username': 'inarvekar'}
{'pid': 12053, 'vms': 0.0, 'name': 'irq/129-mei_me', 'username': 'root'}
{'pid': 12388, 'vms': 15.74609375, 'name': 'dhclient', 'username': 'root'}
{'pid': 13949, 'vms': 1493.62890625, 'name': 'sublime_text', 'username': 'inarvekar'}
{'pid': 13964, 'vms': 1173.30078125, 'name': 'plugin_host', 'username': 'inarvekar'}
{'pid': 13972, 'vms': 601.515625, 'name': 'node', 'username': 'inarvekar'}
{'pid': 14035, 'vms': 139.90234375, 'name': 'python3.5', 'username': 'inarvekar'}
{'pid': 15115, 'vms': 77.94140625, 'name': 'python3', 'username': 'inarvekar'}
{'pid': 15180, 'vms': 22.31640625, 'name': 'bash', 'username': 'inarvekar'}
{'pid': 15640, 'vms': 58.25390625, 'name': 'python3', 'username': 'inarvekar'}
