================================================================================
process logger: Thu May  9 16:31:35 2019
================================================================================

{'pid': 3283, 'vms': 265.34765625, 'username': 'inarvekar', 'name': 'gvfs-gphoto2-volume-monitor'}
{'pid': 3307, 'vms': 251.4921875, 'username': 'inarvekar', 'name': 'gvfs-goa-volume-monitor'}
{'pid': 3316, 'vms': 394.1484375, 'username': 'inarvekar', 'name': 'gvfs-afc-volume-monitor'}
{'pid': 3336, 'vms': 59.859375, 'username': 'inarvekar', 'name': 'gconfd-2'}
{'pid': 3363, 'vms': 162.6953125, 'username': 'inarvekar', 'name': 'python'}
{'pid': 3367, 'vms': 704.0703125, 'username': 'inarvekar', 'name': 'skypeforlinux'}
{'pid': 3386, 'vms': 2480.58984375, 'username': 'inarvekar', 'name': 'skypeforlinux'}
{'pid': 3444, 'vms': 342.45703125, 'username': 'inarvekar', 'name': 'gvfsd-trash'}
{'pid': 3458, 'vms': 51.625, 'username': 'nobody', 'name': 'dnsmasq'}
{'pid': 3651, 'vms': 509.23046875, 'username': 'whoopsie', 'name': 'whoopsie'}
{'pid': 3686, 'vms': 15.5625, 'username': 'root', 'name': 'agetty'}
{'pid': 3716, 'vms': 101.08984375, 'username': 'root', 'name': 'apache2'}
{'pid': 3719, 'vms': 383.46875, 'username': 'www-data', 'name': 'apache2'}
{'pid': 3720, 'vms': 383.46875, 'username': 'www-data', 'name': 'apache2'}
{'pid': 3788, 'vms': 183.18359375, 'username': 'inarvekar', 'name': 'gvfsd-metadata'}
{'pid': 3793, 'vms': 234.375, 'username': 'root', 'name': 'nmbd'}
{'pid': 3810, 'vms': 329.9921875, 'username': 'root', 'name': 'smbd'}
{'pid': 3811, 'vms': 322.078125, 'username': 'root', 'name': 'smbd'}
{'pid': 3813, 'vms': 330.0, 'username': 'root', 'name': 'smbd'}
{'pid': 3853, 'vms': 973.359375, 'username': 'inarvekar', 'name': 'wallch'}
{'pid': 3991, 'vms': 438.53515625, 'username': 'inarvekar', 'name': 'zeitgeist-datahub'}
{'pid': 3993, 'vms': 1691.70703125, 'username': 'inarvekar', 'name': 'variety'}
{'pid': 3999, 'vms': 4.3984375, 'username': 'inarvekar', 'name': 'sh'}
{'pid': 4009, 'vms': 400.83984375, 'username': 'inarvekar', 'name': 'zeitgeist-daemon'}
{'pid': 4016, 'vms': 309.84765625, 'username': 'inarvekar', 'name': 'zeitgeist-fts'}
{'pid': 4089, 'vms': 416.68359375, 'username': 'inarvekar', 'name': 'gvfsd-network'}
{'pid': 4133, 'vms': 353.23828125, 'username': 'inarvekar', 'name': 'gvfsd-dnssd'}
{'pid': 4140, 'vms': 1782.12890625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4145, 'vms': 428.85546875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4146, 'vms': 25.19140625, 'username': 'inarvekar', 'name': 'nacl_helper'}
{'pid': 4149, 'vms': 428.85546875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4175, 'vms': 653.88671875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4203, 'vms': 455.88671875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4215, 'vms': 766.3359375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4287, 'vms': 722.20703125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4315, 'vms': 1967.50390625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4325, 'vms': 685.203125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4336, 'vms': 728.53125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4338, 'vms': 733.78125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4339, 'vms': 730.71484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4355, 'vms': 848.49609375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4356, 'vms': 755.31640625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4371, 'vms': 830.6953125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4380, 'vms': 708.7109375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4394, 'vms': 826.36328125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4400, 'vms': 730.43359375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4416, 'vms': 687.6484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4447, 'vms': 684.6484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4450, 'vms': 689.16015625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4468, 'vms': 725.90234375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4491, 'vms': 676.64453125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4516, 'vms': 684.6484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4527, 'vms': 676.64453125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4532, 'vms': 696.65234375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4542, 'vms': 691.1484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4574, 'vms': 754.99609375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4721, 'vms': 1356.109375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4756, 'vms': 751.54296875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4814, 'vms': 779.19140625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4820, 'vms': 799.87109375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4823, 'vms': 1013.828125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4832, 'vms': 1189.6640625, 'username': 'inarvekar', 'name': 'chrome'}
